ID,Issue_ID,Name,Description,Direction,Target_Issue_ID
6776,20099,Blocker,blocks,OUTBOUND,16032
6777,20099,Blocker,blocks,OUTBOUND,16031
6778,20099,Reference,relates to,OUTBOUND,15821
6779,20099,Reference,relates to,OUTBOUND,17103
6780,20099,Reference,relates to,OUTBOUND,21571
6781,20099,Reference,is related to,INBOUND,18071
6782,20099,Reference,is related to,INBOUND,17030
6783,20099,Reference,is related to,INBOUND,23193
6784,20099,Reference,is related to,INBOUND,21502
6785,20102,Duplicate,duplicates,OUTBOUND,20621
6786,20104,Duplicate,duplicates,OUTBOUND,22124
6787,20104,Reference,relates to,OUTBOUND,19334
6788,20104,Reference,is related to,INBOUND,19293
6789,20105,Reference,relates to,OUTBOUND,20512
6790,20105,Supercedes,supercedes,OUTBOUND,20512
6791,20106,Reference,relates to,OUTBOUND,21965
6792,20107,Reference,relates to,OUTBOUND,19965
6793,20107,Reference,relates to,OUTBOUND,20216
6794,20108,Duplicate,duplicates,OUTBOUND,19003
6795,20108,Reference,is related to,INBOUND,20603
6796,20111,Duplicate,duplicates,OUTBOUND,22347
6797,20111,Reference,relates to,OUTBOUND,19825
6798,20111,Reference,relates to,OUTBOUND,19588
6799,20114,Blocker,is blocked by,INBOUND,21041
6800,20115,Blocker,is blocked by,INBOUND,21041
6801,20116,Duplicate,is duplicated by,INBOUND,21129
6802,20123,Reference,is related to,INBOUND,20211
6803,20127,Duplicate,is duplicated by,INBOUND,20134
6804,20130,Reference,is related to,INBOUND,23174
6805,20130,Reference,is related to,INBOUND,20318
6806,20132,Blocker,blocks,OUTBOUND,20165
6807,20132,Blocker,blocks,OUTBOUND,20163
6808,20134,Duplicate,duplicates,OUTBOUND,20127
6809,20135,Blocker,blocks,OUTBOUND,20269
6810,20135,Blocker,blocks,OUTBOUND,20648
6811,20135,Blocker,blocks,OUTBOUND,20647
6812,20140,Supercedes,is superceded by,INBOUND,19148
6813,20142,Duplicate,duplicates,OUTBOUND,21902
6814,20143,Blocker,is blocked by,INBOUND,19835
6815,20143,Reference,relates to,OUTBOUND,21927
6816,20143,Reference,relates to,OUTBOUND,21665
