dataset,seed,mode,ablation,solver_status,selected_count,total_value,capacity_used,avg_risk,objective_score,skill_coverage,sprint_completion_ratio,runtime_ms,feasibility_total,filtered_by_risk,filtered_by_skill,filtered_by_dependency,filtered_by_status,score_min,score_max,score_mean
usergrid,43,fixed_weight_milp,all_constraints,baseline:fixed_weight_milp:milp-cbc:Optimal,30,188.93,30,0.36000000000000004,21.928435897435897,0.6,,18.451872001605807,512,8,0,0,354,0.4502051282051282,0.746025641025641,0.6600423931623932
usergrid,43,context_only,all_constraints,baseline:context_only:milp-cbc:Optimal,30,190.15,30,0.36466666666666664,22.774381078969483,0.6,,18.244801001856104,512,8,0,0,354,0.4349194433546878,0.7795125253232411,0.6829066872714225
usergrid,43,greedy_feasible,all_constraints,baseline:greedy_feasible,26,170.29,30,0.3930769230769231,19.454642513355633,0.6,,8.699469002749538,512,8,0,0,354,0.4045750649891011,0.809825305270174,0.6545814773047977
usergrid,43,random_feasible,all_constraints,baseline:random_feasible:seed-43,14,77.07,30,0.395,9.289769230769231,0.6,,8.630729000287829,512,8,0,0,354,0.4502051282051282,0.746025641025641,0.6600423931623932
usergrid,43,learned_milp,no_risk,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,22.273009866917526,0.6,,18.095589999575168,512,0,0,0,361,0.4045750649891011,0.809825305270174,0.6545477085987376
usergrid,43,learned_milp,no_skill,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,22.273009866917526,0.6,,18.12009700006456,512,8,0,0,354,0.4045750649891011,0.809825305270174,0.6545814773047977
usergrid,43,learned_milp,no_dependency,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,22.273009866917526,0.6,,18.033663000096567,512,8,0,0,354,0.4045750649891011,0.809825305270174,0.6545814773047977
usergrid,43,learned_milp,no_capacity,milp-cbc:Optimal,150,834.5600000000001,339,0.4024,98.18722159571965,1.0,,14.633187001891201,512,8,0,0,354,0.4045750649891011,0.809825305270174,0.6545814773047977
usergrid,44,learned_milp,all_constraints,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,23.200559251440048,0.6,,18.254629001603462,512,8,0,0,354,0.40115883103363026,0.8292090837184949,0.6839472457594126
usergrid,44,fixed_weight_milp,all_constraints,baseline:fixed_weight_milp:milp-cbc:Optimal,30,188.93,30,0.36000000000000004,21.928435897435897,0.6,,18.588789000204997,512,8,0,0,354,0.4502051282051282,0.746025641025641,0.6600423931623932
usergrid,44,context_only,all_constraints,baseline:context_only:milp-cbc:Optimal,30,190.15,30,0.36466666666666664,22.774381078969483,0.6,,18.483481002476765,512,8,0,0,354,0.4349194433546878,0.7795125253232411,0.6829066872714225
usergrid,44,greedy_feasible,all_constraints,baseline:greedy_feasible,28,181.38,30,0.39107142857142857,21.710283920370845,0.6,,9.087880000151927,512,8,0,0,354,0.40115883103363026,0.8292090837184949,0.6839472457594126
usergrid,44,random_feasible,all_constraints,baseline:random_feasible:seed-44,15,85.38,30,0.41466666666666663,10.003435897435898,0.6,,9.299910001573153,512,8,0,0,354,0.4502051282051282,0.746025641025641,0.6600423931623932
